job_id	run_type	run_time	cpus	cores_threads	core_utilization	core_walltime	percent_core_efficiency	gb_memory_used
9382726	host	00:17:52	16	128	04:18:37	04:45:52	90.47	13.93
9382596	container	00:16:33	16	128	03:58:50	04:24:48	90.19	13.97
9382594	host	00:19:54	12	96	03:40:27	03:58:48	92.32	13.06
9382592	container	00:18:14	12	96	03:21:57	03:38:48	92.30	13.42
9381832	host	00:20:34	8	64	02:35:46	02:44:32	94.67	10.12
9381831	container	00:21:06	8	64	02:39:53	02:48:48	94.72	10.13
9381825	container	00:24:46	6	48	02:22:34	02:28:36	95.94	8.48
9381826	host	00:24:02	6	48	02:18:12	02:24:12	95.84	8.48
9378749	container	00:33:37	4	32	02:10:17	02:14:28	96.89	6.83
9378748	host	00:33:22	4	32	02:09:46	02:13:28	97.23	6.83
9377397	container	01:06:18	2	16	02:11:27	02:12:36	99.13	5.22
9377398	host	01:03:38	2	16	02:05:58	02:07:16	98.98	5.22
9372214	host	00:13:28	16	16	03:06:47	03:35:28	86.69	5.22
9366479	container	00:13:01	16	16	03:02:25	03:28:16	87.59	5.22
9507919	host	0:14:21	12	12	2:32:49	2:52:12	88.74	4.83
9507920	container	0:14:43	12	12	2:35:50	2:56:36	88.24	4.83
9507922	host	00:18:03	8	8	02:12:28	02:24:24	91.74	4.42
9507921	container	00:18:48	8	8	02:17:25	02:30:24	91.37	4.44
9507925	host	00:21:59	6	6	02:03:32	02:11:54	93.66	4.22
9507924	container	00:22:25	6	6	02:06:22	02:14:30	93.95	4.22
9508802	container	00:30:31	4	4	01:56:32	02:02:04	95.47	4.03
9508803	host	00:31:10	4	4	01:58:46	02:04:40	95.27	4.03
